emoji,name,name_emotion,name_emotion_vec
😒,unamused face,surprise,"[0.0042754653841257095, 0.004299314692616463, 0.006627075839787722, 0.023933785036206245, 0.004763368982821703, 0.0007084311218932271, 0.20928263664245605, 0.088785819709301, 0.0008724207291379571, 0.02671968564391136, 0.013815716840326786, 0.004691213369369507, 0.028938859701156616, 0.007910857908427715, 0.0035179948899894953, 0.0028245351277291775, 0.0016372974496334791, 0.0027942464221268892, 0.0020970511250197887, 0.0024560203310102224, 0.003261314705014229, 0.0005683664930984378, 0.04779473692178726, 0.0011437692446634173, 0.0031566654797643423, 0.0034976452589035034, 0.7339614033699036, 0.10899258404970169]"
🙄,face with rolling eyes,neutral,"[0.002615989651530981, 0.004176752641797066, 0.0027925330214202404, 0.008243739604949951, 0.010653838515281677, 0.0010905057424679399, 0.0026531631592661142, 0.001518554287031293, 0.0009556759614497423, 0.0039759050123393536, 0.0031241520773619413, 0.002668081084266305, 0.001254671486094594, 0.001900234492495656, 0.00249669561162591, 0.0006880137952975929, 0.0006121519254520535, 0.0020106788724660873, 0.0007997386856004596, 0.0006356860394589603, 0.0018310410669073462, 0.0003885284240823239, 0.007508946117013693, 0.0004121659731026739, 0.0004358660662546754, 0.003597820643335581, 0.001286962884478271, 0.963616132736206]"
😬,grimacing face,neutral,"[0.004681405145674944, 0.003501222003251314, 0.004273810889571905, 0.013241767883300781, 0.008620371110737324, 0.002193301683291793, 0.0009722080430947244, 0.0005764815141446888, 0.0015044622123241425, 0.0267600379884243, 0.005074444226920605, 0.010679567232728004, 0.004903601948171854, 0.001547753345221281, 0.018081167712807655, 0.0018854755908250809, 0.004624414257705212, 0.0027122937608510256, 0.0009793115314096212, 0.003161135595291853, 0.002087452681735158, 0.0010596687206998467, 0.011575877666473389, 0.0017413764726370573, 0.0031235474161803722, 0.0987803265452385, 0.0021001065615564585, 0.8344457745552063]"
😮‍💨,face exhaling,neutral,"[0.0026292495895177126, 0.0027429484762251377, 0.0036573801189661026, 0.007770283613353968, 0.009040907956659794, 0.001240468118339777, 0.003084728727117181, 0.0019604789558798075, 0.0013891481794416904, 0.0035657910630106926, 0.0030940468423068523, 0.0029196394607424736, 0.0010607530130073428, 0.0025058803148567677, 0.0026687041390687227, 0.0011106531601399183, 0.0006524812197312713, 0.0019023338099941611, 0.0010946060065180063, 0.0005713017890229821, 0.002228324068710208, 0.00038202141877263784, 0.005995900835841894, 0.00037168082781136036, 0.000497514265589416, 0.003291771747171879, 0.0014331055572256446, 0.9688956141471863]"
🤥,lying face,neutral,"[0.004120633006095886, 0.002198475645855069, 0.0034071379341185093, 0.006827258504927158, 0.01202656514942646, 0.0010507951956242323, 0.0027955234982073307, 0.0017958208918571472, 0.001176333986222744, 0.00361238163895905, 0.003790157614275813, 0.002370427828282118, 0.0008147974149324, 0.0022050414700061083, 0.0017305524088442326, 0.001126189948990941, 0.0005613222601823509, 0.0018647165270522237, 0.0013501818757504225, 0.0003885377082042396, 0.001730511081404984, 0.0003986424708273262, 0.005468325689435005, 0.00035003075026907027, 0.0004455996968317777, 0.0028640616219490767, 0.0010967839043587446, 0.9690621495246887]"
🫨,shaking face,neutral,"[0.0027472786605358124, 0.0035036897752434015, 0.010274560190737247, 0.012735453434288502, 0.005346559453755617, 0.001491604489274323, 0.0026279943995177746, 0.0030119738075882196, 0.0017050225287675858, 0.0075995163060724735, 0.00232076202519238, 0.012396960519254208, 0.005449241492897272, 0.004675642587244511, 0.06604582071304321, 0.001146507216617465, 0.002678144024685025, 0.0030282221268862486, 0.0010845776414498687, 0.0038543418049812317, 0.0017227950738742948, 0.0008697484736330807, 0.006251749116927385, 0.0008198047871701419, 0.0008402537205256522, 0.018117042258381844, 0.009072772227227688, 0.8638349771499634]"
🙂‍↔️,head shaking horizontally,neutral,"[0.002387912245467305, 0.0023938959930092096, 0.005293592344969511, 0.010181011632084846, 0.008480197750031948, 0.001857423223555088, 0.0025653874035924673, 0.0016544294776394963, 0.0015594830038025975, 0.00460808677598834, 0.0023706723004579544, 0.004145284648984671, 0.0013779767323285341, 0.0026603746227920055, 0.007927336730062962, 0.0007151963072828948, 0.0009574881987646222, 0.002191964304074645, 0.0009431491489522159, 0.0014391983859241009, 0.0021117818541824818, 0.0004599407548084855, 0.005635315086692572, 0.00047441746573895216, 0.0004957971978001297, 0.006390990689396858, 0.0018434477970004082, 0.958903968334198]"
🙂‍↕️,head shaking vertically,neutral,"[0.0026545727159827948, 0.002400188008323312, 0.004290619399398565, 0.008842426352202892, 0.009652159176766872, 0.001582397730089724, 0.002763348398730159, 0.0017491906182840466, 0.0012752898037433624, 0.0036347676068544388, 0.0026508322916924953, 0.0031001949682831764, 0.001091608079150319, 0.002629210939630866, 0.003952258266508579, 0.0008584281313233078, 0.0006926743080839515, 0.0021553339902311563, 0.000976384908426553, 0.0008259332389570773, 0.0020359328482300043, 0.0004214670043438673, 0.0053205667063593864, 0.00041097879875451326, 0.0004247295146342367, 0.003744281828403473, 0.0014666294446215034, 0.9664032459259033]"
😌,relieved face,neutral,"[0.005967556498944759, 0.0033111097291111946, 0.0017986001912504435, 0.007577667944133282, 0.060604799538850784, 0.07435034960508347, 0.0014988417970016599, 0.0013156614731997252, 0.0031866692006587982, 0.008815553039312363, 0.0026251873932778835, 0.002055881079286337, 0.00176059955265373, 0.008465724997222424, 0.012570221908390522, 0.0038756949361413717, 0.006451369728893042, 0.07419458031654358, 0.0013081147335469723, 0.01820225454866886, 0.011812085285782814, 0.005050163250416517, 0.017166705802083015, 0.05885769799351692, 0.0016178671503439546, 0.06356745213270187, 0.0038890920113772154, 0.5683926343917847]"
😔,pensive face,neutral,"[0.00427081948146224, 0.00573098286986351, 0.002547913696616888, 0.011268135160207748, 0.01559399999678135, 0.011789068579673767, 0.0009741625981405377, 0.0008488286403007805, 0.001992391189560294, 0.03988783434033394, 0.006503424607217312, 0.004073985852301121, 0.002387092448771, 0.0010901017813012004, 0.0030976200941950083, 0.00116524298209697, 0.00851207971572876, 0.008000454865396023, 0.002282446948811412, 0.004999691620469093, 0.0013979490613564849, 0.0006623305962421, 0.01157381758093834, 0.0029850928112864494, 0.005152769386768341, 0.47912102937698364, 0.0006329842726700008, 0.49806714057922363]"
😪,sleepy face,neutral,"[0.0039613088592886925, 0.005603135097771883, 0.002211946062743664, 0.012890811078250408, 0.010763345286250114, 0.00476565957069397, 0.0030004519503563643, 0.0023400401696562767, 0.002289325464516878, 0.03107728622853756, 0.0037465395871549845, 0.012172142043709755, 0.0050966618582606316, 0.0025192340835928917, 0.014718168415129185, 0.0006225238321349025, 0.006903429981321096, 0.004759491886943579, 0.003921755589544773, 0.012037759646773338, 0.0009460278088226914, 0.0006112718838267028, 0.012274345383048058, 0.002097752643749118, 0.002475704299286008, 0.2161417007446289, 0.0025370302610099316, 0.7183830142021179]"
🤤,drooling face,sadness,"[0.002399663906544447, 0.011380276642739773, 0.0063370210118591785, 0.0207201074808836, 0.004964006599038839, 0.001965923234820366, 0.0030421114061027765, 0.0045168413780629635, 0.0042619770392775536, 0.027175579220056534, 0.005162482615560293, 0.08464691042900085, 0.0119185084477067, 0.0023813843727111816, 0.014194974675774574, 0.0026643280871212482, 0.01315933559089899, 0.002502920338883996, 0.00420718127861619, 0.0034351202193647623, 0.0008014448685571551, 0.00041576894000172615, 0.0069467187859117985, 0.0010709409834817052, 0.005844167899340391, 0.4414079189300537, 0.0052149430848658085, 0.2942744195461273]"
😴,sleeping face,neutral,"[0.003129666205495596, 0.0034243587870150805, 0.0034016133286058903, 0.008241446688771248, 0.012742032296955585, 0.0026586116291582584, 0.00186627556104213, 0.001370117301121354, 0.00295871845446527, 0.007747501600533724, 0.004173572640866041, 0.006953518372029066, 0.0018641833448782563, 0.002909338567405939, 0.005161617882549763, 0.0010937132174149156, 0.001972081372514367, 0.005250068847090006, 0.004463859833776951, 0.001325134770013392, 0.0013809995725750923, 0.0006794374203309417, 0.007089872844517231, 0.001071228994987905, 0.0011839105281978846, 0.017384598031640053, 0.0014293764252215624, 0.9545465111732483]"
😷,face with medical mask,neutral,"[0.0033658205065876245, 0.0036428458988666534, 0.0033085178583860397, 0.008024688810110092, 0.011161735281348228, 0.001054806518368423, 0.0025865223724395037, 0.0015804124996066093, 0.0010867567034438252, 0.0034479598980396986, 0.0025066614616662264, 0.0031182188540697098, 0.001309306244365871, 0.0025607601273804903, 0.0029073155019432306, 0.000860127795021981, 0.000643362698610872, 0.0023216092959046364, 0.0011735454900190234, 0.0006215083412826061, 0.0018154277931898832, 0.0004905257956124842, 0.006870252080261707, 0.00045272649731487036, 0.0004887938848696649, 0.003177124075591564, 0.001542101614177227, 0.963855504989624]"
🤒,face with thermometer,neutral,"[0.0030167142394930124, 0.002777805784717202, 0.0038751279935240746, 0.008387355133891106, 0.009670846164226532, 0.001130031538195908, 0.0032009785063564777, 0.002248297678306699, 0.0010769462678581476, 0.0032637990079820156, 0.00256796320900321, 0.0028818428982049227, 0.0011417903006076813, 0.002384382300078869, 0.002288972493261099, 0.0008642309112474322, 0.0005907236482016742, 0.0018690187716856599, 0.001065425924025476, 0.0005328627885319293, 0.0018697804771363735, 0.0003961971669923514, 0.0056330556981265545, 0.0003659957437776029, 0.0004597209335770458, 0.0027557869907468557, 0.0015012366930022836, 0.9672389626502991]"
🤕,face with head-bandage,neutral,"[0.0030575653072446585, 0.0023347449023276567, 0.0030152045655995607, 0.006811334285885096, 0.010984156280755997, 0.0010663412977010012, 0.003510428825393319, 0.0019049947150051594, 0.0011624448234215379, 0.0035775769501924515, 0.0033326614648103714, 0.002376067917793989, 0.0009524897905066609, 0.0024141438771039248, 0.0021691860165446997, 0.0010404413333162665, 0.0005937053356319666, 0.0020241548772901297, 0.0010708965128287673, 0.0005157531122677028, 0.0020753585267812014, 0.0004013522411696613, 0.00663731386885047, 0.0003978467429988086, 0.00047977996291592717, 0.0029534045606851578, 0.0013940443750470877, 0.9693616032600403]"
🤢,nauseated face,neutral,"[0.003780556842684746, 0.007772662676870823, 0.005946588236838579, 0.03758012503385544, 0.007037169765681028, 0.0009684372344054282, 0.00258225598372519, 0.004192439839243889, 0.0014897692017257214, 0.032152555882930756, 0.008215414360165596, 0.08663278073072433, 0.010371617041528225, 0.002336548175662756, 0.01068944577127695, 0.000944047758821398, 0.003590385662391782, 0.0013812350807711482, 0.0011444410774856806, 0.00224854052066803, 0.0006265194970183074, 0.00036111377994529903, 0.006305395159870386, 0.0006991235422901809, 0.001214388059452176, 0.08981255441904068, 0.0028911284171044827, 0.5622527003288269]"
🤮,face vomiting,neutral,"[0.0015266838017851114, 0.003487587673589587, 0.011644457466900349, 0.04311096668243408, 0.011386577971279621, 0.0011226400965824723, 0.0020493727643042803, 0.0021655817981809378, 0.003168142167851329, 0.020643899217247963, 0.00706307590007782, 0.16627514362335205, 0.009430959820747375, 0.001903633470647037, 0.019617872312664986, 0.0009733870392665267, 0.0027655367739498615, 0.001153365010395646, 0.0025021987967193127, 0.0018363790586590767, 0.0011289529502391815, 0.0004101056547369808, 0.007855848409235477, 0.0007148511940613389, 0.001348961959592998, 0.04675184190273285, 0.002528560347855091, 0.7260748147964478]"
🤧,sneezing face,neutral,"[0.002338951686397195, 0.005619764793664217, 0.005563758779317141, 0.016164181753993034, 0.006972822826355696, 0.0010092922020703554, 0.0031293081119656563, 0.0030557201243937016, 0.001962430076673627, 0.007329804357141256, 0.004435643088072538, 0.023451292887330055, 0.0055976565927267075, 0.002612372860312462, 0.0065167672000825405, 0.0005443320842459798, 0.0013348642969503999, 0.0017688693478703499, 0.001978450221940875, 0.0011754161678254604, 0.0009430247009731829, 0.00041860772762447596, 0.0061369347386062145, 0.0004686228057835251, 0.0009591600392013788, 0.009580054320394993, 0.00220278836786747, 0.9298529624938965]"
🥵,hot face,neutral,"[0.4530189335346222, 0.001758501399308443, 0.0009557087323628366, 0.0033028852194547653, 0.08062727004289627, 0.0013430312974378467, 0.0006890504737384617, 0.0006624972447752953, 0.0008335976745001972, 0.0032557484228163958, 0.0019729130435734987, 0.0015050828224048018, 0.0004471427237149328, 0.0033576746936887503, 0.0006940249586477876, 0.00216233660466969, 0.0004150960885453969, 0.0028445390053093433, 0.008118486031889915, 0.00017885325360111892, 0.002049424685537815, 0.0023498032242059708, 0.009490786120295525, 0.0006499983137473464, 0.0003621903306338936, 0.0017228006618097425, 0.0008512021158821881, 0.5930702686309814]"
🥶,cold face,neutral,"[0.0038509401492774487, 0.00284192175604403, 0.00864499807357788, 0.016813410446047783, 0.008394286967813969, 0.0012969892704859376, 0.001738090650178492, 0.0015485133044421673, 0.0010442780330777168, 0.006558990105986595, 0.004768736660480499, 0.005806692875921726, 0.0014425651170313358, 0.0016260674456134439, 0.002835627645254135, 0.0007174196070991457, 0.0008611980592831969, 0.001740713370963931, 0.0012434918899089098, 0.0005709597025997937, 0.0011799846542999148, 0.0003890350926667452, 0.004313667770475149, 0.00035861009382642806, 0.0004535993211902678, 0.005850925575941801, 0.0010702467989176512, 0.9581483602523804]"
🥴,woozy face,neutral,"[0.04769030958414078, 0.010706257075071335, 0.002068497473374009, 0.0050260284915566444, 0.028033019974827766, 0.0010865767253562808, 0.0011446864809840918, 0.004506201948970556, 0.0020257034339010715, 0.0014643071917816997, 0.0008072778000496328, 0.0013189875753596425, 0.000503571645822376, 0.05808399245142937, 0.000453401095001027, 0.0004603580746334046, 0.00030243201763369143, 0.04417426139116287, 0.010844677686691284, 0.00028759537963196635, 0.0019455382134765387, 0.0014654393307864666, 0.003121849847957492, 0.0008002296672202647, 0.00020490468887146562, 0.0009190377313643694, 0.002172755775973201, 0.7131032347679138]"
😵,face with crossed-out eyes,neutral,"[0.0025114899035543203, 0.0021438959520310163, 0.0029300397727638483, 0.008057916536927223, 0.011963256634771824, 0.0010662015993148088, 0.0034348133485764265, 0.001699604676105082, 0.0011017575161531568, 0.004122959915548563, 0.0036235942970961332, 0.0029387802351266146, 0.0010950283613055944, 0.0016312095103785396, 0.00257671345025301, 0.0007553106406703591, 0.0006036906852386892, 0.0014540842967107892, 0.0009907588828355074, 0.0005879712989553809, 0.0019578358624130487, 0.0003348914033267647, 0.007352533750236034, 0.0003744365239981562, 0.0005169222713448107, 0.0036824815906584263, 0.0011641507735475898, 0.9650961756706238]"
😵‍💫,face with spiral eyes,neutral,"[0.0049766418524086475, 0.00209059682674706, 0.0024923270102590322, 0.005860030185431242, 0.014219257049262524, 0.0009115603752434254, 0.003083428367972374, 0.0021128663793206215, 0.0009801408741623163, 0.003019430208951235, 0.002380014630034566, 0.0025799530558288097, 0.0009135354193858802, 0.002437412040308118, 0.002304564928635955, 0.0009456875268369913, 0.0005399518995545805, 0.0017489842139184475, 0.0011430232552811503, 0.00046829148777760565, 0.0017298490274697542, 0.00042797497007995844, 0.006657376419752836, 0.0003768886090256274, 0.00040987273678183556, 0.002626456320285797, 0.001452913391403854, 0.9638460874557495]"
